cycle_times,total_bitmap_size,total_execution_time,execution_entry_count,total_score,no_new_coverage_cycle_times,exploration_mode,last_fuzz_finds_count,last_fuzz_crash_count,last_fuzz_timeout_count,bitmap_size,program_run_time
0,105,0.0012099742889404297,1,0,0,True,1,0,0,105,0
1,162,0.0031800270080566406,2,0,1,True,2,0,0,143,0.011391162872314453
1,200,0.0050506591796875,3,0,1,True,3,0,0,145,0.018913984298706055
2,655,0.016472339630126953,12,281.25,0,True,4,0,0,150,0.0736382007598877
3,1096,0.025412321090698242,20,550.0,0,True,5,0,0,159,0.1141350269317627
3,1293,0.02976512908935547,24,550.0,0,True,6,0,0,160,0.13328337669372559
4,1945,0.04706406593322754,40,1050.0,0,True,7,0,0,173,0.21221065521240234
4,2937,0.06815052032470703,60,950.0,0,True,8,0,0,175,0.3104362487792969
6,4158,0.0966799259185791,87,1100.0,1,True,9,0,0,182,0.4401073455810547
6,4456,0.10618257522583008,96,1400.0,1,True,10,0,0,184,0.48392462730407715
7,6748,0.1533198356628418,140,1700.0,0,True,11,0,0,190,0.6984374523162842
8,7310,0.16959381103515625,157,2000.0,0,True,12,0,0,194,0.7810194492340088
9,9625,0.22506451606750488,208,2800.0,0,True,13,0,0,195,1.0332417488098145
9,10751,0.2549405097961426,237,3150.0,0,True,14,0,0,197,1.169584035873413
13,19081,0.42421579360961914,408,3050.0,3,True,15,0,0,206,1.9885623455047607
13,19368,0.43082118034362793,415,3050.0,3,True,16,0,0,207,2.021252393722534
17,27093,0.601844072341919,581,3350.0,3,True,17,0,0,208,2.823740243911743
17,28566,0.6331741809844971,614,3400.0,3,True,18,0,0,210,2.9791603088378906
17,28936,0.6415712833404541,623,3400.0,3,True,19,0,0,211,3.020566701889038
20,38438,0.8172996044158936,800,5000.0,2,True,20,0,0,212,3.8570892810821533
20,38921,0.8295450210571289,813,5000.0,2,True,21,0,0,260,3.919743776321411
20,39597,0.8452498912811279,830,5000.0,2,True,22,0,0,271,4.000503778457642
20,40075,0.8572354316711426,843,5000.0,2,True,23,0,0,330,4.0620644092559814
21,47817,1.060647964477539,1045,8762.5,0,True,24,0,0,331,5.032857656478882
22,51038,1.1449470520019531,1130,8012.5,0,True,25,0,0,332,5.438521146774292
22,56695,1.2806365489959717,1266,7712.5,0,True,26,0,0,342,6.084532976150513
22,60683,1.3779888153076172,1361,9212.5,0,True,27,0,0,348,6.541527986526489
22,63855,1.450465202331543,1431,11012.5,0,True,28,0,0,349,6.877670049667358
23,73907,1.6983883380889893,1683,11912.5,0,True,29,0,0,352,8.078922271728516
23,75817,1.7508580684661865,1734,11012.5,0,True,30,0,0,353,8.319633483886719
24,85821,2.0148308277130127,1998,13412.5,0,True,31,0,0,356,9.560042142868042
24,87873,2.0610949993133545,2047,11637.5,0,True,32,0,0,360,9.790975570678711
25,93075,2.1747922897338867,2165,15237.5,0,True,33,0,0,362,10.348093748092651
25,106463,2.4561448097229004,2456,18837.5,0,True,34,0,0,394,11.72655463218689
25,108901,2.5058786869049072,2510,15237.5,0,True,35,0,0,398,11.981973648071289
26,123593,2.837545871734619,2835,18837.5,0,True,36,0,0,399,13.530945539474487
27,136666,3.1289210319519043,3122,19637.5,0,True,37,0,0,400,14.918431520462036
27,145909,3.2277328968048096,3212,17537.5,0,True,38,0,0,405,15.35985517501831
27,149763,3.25488543510437,3237,17537.5,0,True,39,0,0,406,15.487035751342773
27,158912,3.382014274597168,3359,25412.5,0,True,40,0,0,407,16.094711542129517
28,180709,3.5971951484680176,3570,25862.5,0,True,41,0,0,412,17.11415123939514
28,185009,3.6696369647979736,3640,25162.5,0,True,42,0,0,418,17.452857732772827
28,187396,3.6867406368255615,3657,25162.5,0,True,43,0,0,421,17.53359866142273
28,190464,3.706761598587036,3677,25162.5,0,True,44,0,0,422,17.626927137374878
28,191056,3.7106921672821045,3681,25162.5,0,True,45,0,0,428,17.645683526992798
28,219523,3.911454916000366,3880,37712.5,0,True,46,0,0,429,18.614882230758667
28,234919,4.040693044662476,4007,32206.25,0,True,47,0,0,431,19.23455572128296
28,246317,4.13152551651001,4095,33056.25,0,True,48,0,0,432,19.66429305076599
29,305738,4.587893962860107,4544,31556.25,0,True,49,0,0,436,21.85077476501465
29,307989,4.601839542388916,4558,31556.25,0,True,50,0,0,437,21.91840410232544
30,336356,4.832235097885132,4784,27106.25,0,False,51,0,0,438,23.029618501663208
30,340392,4.865594148635864,4817,27856.25,0,False,52,0,0,439,23.189738988876343
30,347936,4.918788909912109,4870,28556.25,0,False,53,0,0,441,23.443515300750732
30,349687,4.9318177700042725,4883,28556.25,0,False,54,0,0,449,23.506157159805298
30,356821,4.989751577377319,4940,33356.25,0,False,55,0,0,452,23.77930188179016
30,362544,5.028547286987305,4979,35756.25,0,False,56,0,0,458,23.970158100128174
30,367472,5.071472644805908,5022,38806.25,0,False,57,0,0,460,24.17967939376831
