cycle_times,total_bitmap_size,total_execution_time,execution_entry_count,total_score,no_new_coverage_cycle_times,exploration_mode,last_fuzz_finds_count,last_fuzz_crash_count,last_fuzz_timeout_count,bitmap_size,program_run_time
0,2903,0.010616064071655273,5,0,0,True,16,0,0,889,0
5,3502,0.011551618576049805,6,900.0,5,True,17,85,0,892,3.2465782165527344
14,14665,0.03418421745300293,25,1050.0,8,True,18,267,0,895,7.735338926315308
15,16281,0.039156436920166016,28,1175.0,0,True,19,296,0,896,8.572305917739868
16,18496,0.04578542709350586,32,1325.0,0,True,20,338,0,899,8.999417543411255
16,19006,0.047650814056396484,33,1325.0,0,True,21,341,0,900,9.019281148910522
18,21640,0.05690503120422363,38,1725.0,1,True,22,413,0,901,9.78696346282959
18,22155,0.059424400329589844,39,1725.0,1,True,23,421,0,903,9.818411350250244
19,22669,0.061576128005981445,40,2625.0,0,True,24,434,0,904,9.887855052947998
19,24706,0.06887459754943848,44,3225.0,0,True,25,495,0,905,10.250277519226074
21,28831,0.0823063850402832,52,2675.0,1,True,26,568,0,906,11.24515151977539
21,30359,0.08707594871520996,55,2725.0,1,True,27,592,0,907,11.380946397781372
32,71408,0.2285304069519043,134,3525.0,10,False,28,1157,0,908,17.436716079711914
36,82106,0.26633644104003906,155,2850.0,3,False,29,1341,0,909,18.567387104034424
40,98160,0.32181787490844727,186,3350.0,3,False,30,1582,0,910,22.36654496192932
48,128123,0.4334230422973633,244,3550.0,7,False,31,2106,0,911,28.85533595085144
50,139019,0.47057342529296875,265,4175.0,1,False,32,2313,0,912,33.119781732559204
51,143653,0.48677849769592285,274,4475.0,0,False,33,2398,0,913,33.72683811187744
84,326522,1.1470274925231934,630,5275.0,32,True,34,4926,0,914,57.44165015220642
131,579787,2.072918653488159,1122,4200.0,46,True,35,8025,0,916,90.72584629058838
202,849323,3.167140483856201,1643,5150.0,70,True,36,13921,0,917,144.19577622413635
922,3596365,13.274896144866943,6936,6150.0,719,True,37,84024,0,918,591.4212036132812
1159,4848635,17.90494394302368,9356,5200.0,236,True,38,103970,0,919,754.1529319286346
1313,5738537,21.248500108718872,11079,6100.0,153,True,39,120582,0,921,878.7487659454346
1697,7709771,28.689850330352783,14885,5600.0,383,True,40,155858,0,922,1190.077466249466
2490,12321392,46.207848072052,23816,6100.0,792,True,41,231574,0,924,1841.0604918003082
7018,39366522,141.2864592075348,75412,5900.0,4527,True,42,652451,0,925,6205.485792160034
11941,66543786,236.2719964981079,127741,5925.0,4922,True,43,1125713,0,926,10321.288631916046
12948,71895751,256.3243124485016,138080,5975.0,1006,True,44,1231720,0,927,11418.235832452774
15382,84313518,302.3393199443817,162082,6375.0,2433,True,45,1484451,0,928,14023.206193447113
17565,95302395,343.0480544567108,183298,6575.0,2182,True,46,1738335,0,931,16974.31011557579
19259,105286224,378.3475089073181,202192,6425.0,1693,True,47,1928247,0,933,19183.060336351395
19552,107140614,384.5490093231201,205641,6825.0,292,True,48,1961677,0,950,19601.570567131042
19552,107141342,384.55106687545776,205642,6825.0,292,True,49,1961685,0,1143,19601.67015337944
19552,107141985,384.5530788898468,205643,6825.0,292,True,50,1961697,0,1203,19601.86991095543
19552,107143178,384.5571746826172,205645,10275.0,292,True,51,1961762,0,1279,19603.03145813942
19552,107143710,384.55930614471436,205646,11475.0,292,True,52,1961785,0,1280,19603.939608573914
19552,107144826,384.5627338886261,205648,12275.0,292,True,53,1961805,0,1310,19604.23542881012
19554,107162634,384.630499124527,205682,13475.0,1,False,54,1962398,0,1311,19615.311276197433
19554,107169716,384.6610095500946,205697,14675.0,1,False,55,1962623,0,1334,19620.055883169174
19555,107180569,384.70486092567444,205718,15875.0,0,False,56,1963024,0,1336,19630.192511081696
19556,107194139,384.7616283893585,205745,17075.0,0,False,57,1963438,0,1337,19639.103961229324
19556,107196923,384.77164673805237,205750,18275.0,0,False,58,1963528,0,1426,19641.246073246002
19557,107209156,384.8161144256592,205773,20075.0,0,False,59,1963899,0,1472,19651.9671189785
19583,107677460,386.7478201389313,206686,21875.0,25,True,60,1978518,0,1791,20056.82486653328
19583,107680476,386.75933599472046,206692,23725.0,25,True,61,1978636,0,1817,20058.64727163315
19583,107681281,386.76158571243286,206693,23725.0,25,True,62,1978654,0,1842,20059.15373826027
19583,107682556,386.76549768447876,206695,27325.0,25,True,63,1978684,0,1846,20060.005287885666
19584,107687125,386.78320717811584,206704,29125.0,0,False,64,1978832,0,1848,20063.467015504837
29027,283042710,1090.5876786708832,548662,30925.0,9442,True,65,4842168,0,1851,81795.99612879753
30340,301760587,1165.3576300144196,585006,12800.0,1312,True,66,5096497,0,1856,88260.51948308945
30356,301966935,1166.1810722351074,585405,13200.0,15,True,66,5099571,0,1856,88317.34808826447
