cycle_times,total_bitmap_size,total_execution_time,execution_entry_count,total_score,no_new_coverage_cycle_times,exploration_mode,last_fuzz_finds_count,last_fuzz_crash_count,last_fuzz_timeout_count,bitmap_size,program_run_time
0,28869,1.514280080795288,16,0,0,True,42,0,0,4107,0
5,135835,1.737480878829956,171,5770.0,5,True,43,181,0,4109,9.246088743209839
7,186767,1.8353471755981445,244,6665.0,1,True,44,295,0,4110,12.438284158706665
11,296953,2.0302090644836426,401,5825.0,3,True,45,483,0,4120,19.706858158111572
28,622699,2.6156961917877197,870,5550.0,16,True,46,1104,0,4121,35.43343257904053
29,650354,2.6646127700805664,907,4105.0,0,True,47,1143,0,4122,37.78504824638367
33,774366,2.894827365875244,1083,5180.0,3,False,48,1340,0,4123,45.477694511413574
38,910848,3.1934001445770264,1279,4405.0,4,False,49,1546,0,4124,56.36121582984924
39,918065,3.2070107460021973,1288,4455.0,0,False,50,1557,0,4127,56.97330164909363
40,961307,3.2988245487213135,1343,5155.0,0,False,51,1617,0,4128,60.43419146537781
45,1116181,3.590716600418091,1568,5355.0,4,False,52,1898,0,4129,73.90560960769653
51,1254279,3.8516061305999756,1766,4955.0,5,False,53,2166,0,4130,87.33670949935913
73,1817122,4.898927450180054,2561,5080.0,21,True,54,3205,0,4131,148.52984619140625
89,2219993,5.642807960510254,3125,5230.0,15,True,55,4005,0,4132,185.78358697891235
93,2325176,5.845594882965088,3276,5355.0,3,False,56,4199,0,4133,197.9249312877655
99,2553030,6.389384984970093,3596,5755.0,5,False,57,4537,0,4135,215.56145071983337
111,2876435,6.95205020904541,4033,5235.0,11,True,58,5111,0,4136,242.20793056488037
121,3262251,7.644951105117798,4578,6060.0,9,False,59,5740,0,4137,280.25724244117737
151,4116558,9.318009376525879,5767,5760.0,29,True,60,7340,0,4138,369.75363278388977
162,4415409,9.859626770019531,6190,5312.5,10,False,61,7980,0,4139,396.846337556839
162,4435177,10.003194332122803,6216,6062.5,10,False,62,8002,0,4140,397.6552858352661
180,5062363,11.142786741256714,7109,6252.5,17,True,63,9156,0,4141,443.38471150398254
181,5111752,11.226882934570312,7178,6352.5,0,False,64,9240,0,4142,448.62330198287964
186,5340879,11.658430576324463,7496,7152.5,4,False,65,9569,0,4143,469.36903715133667
222,6660859,14.52906084060669,9358,7902.5,35,True,66,12030,0,4144,600.7177042961121
