cycle_times,total_bitmap_size,total_execution_time,execution_entry_count,total_score,no_new_coverage_cycle_times,exploration_mode,last_fuzz_finds_count,last_fuzz_crash_count,last_fuzz_timeout_count,bitmap_size,program_run_time
0,8310,0.02566671371459961,20,0,0,True,20,0,0,1068,0
1,8581,0.027083635330200195,21,0,1,True,21,0,0,1072,0.0067174434661865234
1,8756,0.028437376022338867,22,0,1,True,22,0,0,1073,0.014192581176757812
1,9090,0.02978348731994629,23,0,1,True,23,0,0,1081,0.02184891700744629
1,9352,0.03092789649963379,24,0,1,True,24,0,0,1082,0.028783559799194336
1,9878,0.03362727165222168,26,0,1,True,25,0,0,1084,0.04257345199584961
1,10340,0.03589820861816406,28,0,1,True,26,0,0,1085,0.05711054801940918
1,10556,0.03700375556945801,29,0,1,True,27,0,0,1086,0.06398248672485352
1,11347,0.04095196723937988,32,0,1,True,28,0,0,1088,0.08611035346984863
1,12547,0.04681229591369629,37,0,1,True,29,0,0,1089,0.11899709701538086
1,12800,0.04819321632385254,38,0,1,True,30,0,0,1090,0.12640643119812012
1,13060,0.04952263832092285,39,0,1,True,31,0,0,1091,0.13379716873168945
1,13826,0.05330204963684082,42,0,1,True,32,0,0,1092,0.1537761688232422
1,18043,0.07545018196105957,58,0,1,True,33,0,0,1099,0.3240470886230469
1,24958,0.12377333641052246,86,0,1,True,34,0,0,1100,0.613105297088623
1,25947,0.1283271312713623,89,0,1,True,35,0,0,1103,0.640064001083374
2,28714,0.14101862907409668,99,4300.0,0,True,36,0,0,1105,0.7123076915740967
2,29927,0.14656329154968262,104,4500.0,0,True,37,0,0,1106,0.7451906204223633
2,38206,0.1860485076904297,135,4600.0,0,True,38,0,0,1107,0.9498577117919922
2,40351,0.1955277919769287,142,4700.0,0,True,39,0,0,1109,0.9972484111785889
2,44317,0.2135624885559082,156,4800.0,0,True,40,0,0,1112,1.0891368389129639
2,45427,0.21878266334533691,160,4900.0,0,True,41,0,0,1113,1.115675926208496
2,47996,0.23020267486572266,169,5000.0,0,True,42,0,0,1116,1.1758320331573486
2,48537,0.2338721752166748,171,5000.0,0,True,43,0,0,1117,1.455883264541626
2,50718,0.24598264694213867,179,5250.0,0,True,44,0,0,1118,1.562117099761963
2,51670,0.25368762016296387,184,5275.0,0,True,45,0,0,1119,1.5957887172698975
2,52563,0.25963687896728516,188,5325.0,0,True,46,0,0,1121,1.6216576099395752
3,60787,0.30426669120788574,217,5450.0,0,True,47,0,0,1122,1.869478702545166
3,62384,0.31282877922058105,223,5550.0,0,True,48,0,0,1124,1.9087984561920166
3,64504,0.3258693218231201,231,5750.0,0,True,49,0,0,1125,1.9631218910217285
