cycle_times,total_bitmap_size,total_execution_time,execution_entry_count,total_score,no_new_coverage_cycle_times,exploration_mode,last_fuzz_finds_count,last_fuzz_crash_count,last_fuzz_timeout_count,bitmap_size,program_run_time
0,414,0.0017714500427246094,1,0,0,True,1,0,0,414,0
35,1147,0.004307985305786133,3,100,35,True,2,68,0,446,0.1577754020690918
52,7946,0.034746646881103516,24,500,16,True,3,141,0,453,0.45294690132141113
53,8913,0.039096832275390625,27,600,0,False,4,153,0,454,0.496091365814209
325,170390,0.7824418544769287,528,1000,271,True,5,1893,0,457,6.920015096664429
2215,941514,4.225815773010254,2845,800,1889,True,6,18713,0,464,56.27639317512512
2222,944102,4.236955881118774,2853,900,6,False,7,18841,0,465,56.633795976638794
2262,967515,4.34248423576355,2925,1300,39,True,8,19866,0,467,59.51822352409363
2846,1305411,5.940509796142578,3959,2100,583,True,9,36107,0,471,104.9071786403656
3229,1864388,8.650987386703491,5723,1700,382,True,10,47538,0,472,140.82040429115295
3346,1963535,9.10394024848938,6020,1900,116,True,11,53417,0,473,157.0616693496704
3417,2033146,9.430756330490112,6230,2300,70,True,12,57290,0,475,168.08456301689148
3626,2326431,10.801135301589966,7134,3100,208,True,13,67850,0,476,201.20197081565857
24992,39916612,186.9500060081482,123368,3300,21365,True,14,699555,0,482,2466.2907083034515
25032,39994390,187.2717821598053,123577,2600,39,True,15,702055,0,483,2475.1073925495148
25736,41555910,193.62838745117188,127738,3400,703,True,16,757001,0,485,2666.429459095001
25753,41595490,193.79400753974915,127846,3800,16,True,17,758352,0,487,2671.0525867938995
25759,41609793,193.85220193862915,127884,4600,5,False,18,758892,0,488,2672.909779071808
25780,41652681,194.0316812992096,128000,5000,20,True,19,761014,0,489,2679.7958052158356
25919,41982479,195.36316084861755,128877,5400,138,True,20,776002,0,491,2728.4814109802246
26483,43386011,201.05749654769897,132614,5800,563,True,21,838584,0,492,2931.2487835884094
28603,48940634,223.42681455612183,147307,6200,2119,True,22,1025844,0,493,3544.315176963806
28750,49345602,225.10563254356384,148412,4800,146,True,23,1037172,0,503,3582.4998984336853
29523,51684700,234.69383072853088,154687,5600,772,True,24,1112837,0,504,3839.093470811844
29577,51863202,235.41398072242737,155163,6400,53,True,25,1118960,0,505,3859.7699222564697
30529,54944487,247.84274578094482,163342,7200,951,True,26,1239045,0,507,4254.192568540573
30709,55523433,250.17675828933716,164884,6600.0,179,True,27,1263329,0,508,4330.465388774872
31066,56883582,255.8380422592163,168618,7400.0,356,True,28,1317606,0,509,4502.983838319778
31734,59281634,265.7956624031067,175207,8200.0,667,True,29,1415642,0,515,4800.207954645157
32476,62004918,277.16809606552124,182721,8100.0,741,True,30,1532035,0,516,5154.563428163528
36458,76081975,336.2773127555847,221926,7700.0,3981,True,31,1958105,0,517,6477.978340387344
38129,81961908,360.9268546104431,238300,4950.0,1670,True,32,2089259,0,518,6902.015496730804
39293,86455244,379.7215600013733,250528,5750.0,1163,True,33,2214851,0,520,7316.949059963226
52631,139819836,609.4136590957642,394840,6550.0,13337,True,34,3352357,0,521,11265.155739545822
120855,391172472,1721.376293182373,1086250,5850.0,68223,True,35,9045287,0,522,30384.661650419235
122023,395598717,1741.146291732788,1098551,6050.0,1167,True,36,9176969,0,524,30805.860167503357
126039,412439288,1817.9184367656708,1146012,6850.0,4015,True,37,9732276,0,527,32685.345061540604
218514,839890997,3700.3674602508545,2330159,7650.0,92474,True,38,18391168,0,528,64121.73996210098
242107,945810033,4157.825396060944,2625390,6650.0,23592,True,39,20890867,0,529,72478.96880578995
258442,1012121425,4440.918053150177,2808344,7250.0,16334,True,39,23124176,0,529,79473.03895950317
