cycle_times,total_bitmap_size,total_execution_time,execution_entry_count,total_score,no_new_coverage_cycle_times,exploration_mode,last_fuzz_finds_count,last_fuzz_crash_count,last_fuzz_timeout_count,bitmap_size,program_run_time
0,583,0.010995626449584961,1,0,0,True,1,0,0,583,0
181,6724,0.040215253829956055,12,100,181,True,2,351,0,603,1.3449339866638184
17060,2678413,29.78551197052002,8306,350.0,16878,True,3,59688,0,610,341.27514004707336
17083,2682930,29.83213782310486,8319,575.0,22,True,4,59985,0,611,342.89885663986206
17195,2706534,30.073803901672363,8388,975.0,111,True,5,61936,0,613,352.96876549720764
17269,2733798,30.35069513320923,8469,1375.0,73,True,6,63559,0,614,361.9137418270111
17618,2910107,32.14140796661377,8994,1775.0,348,True,7,72874,0,615,414.6526780128479
20256,4839770,52.61044144630432,14872,2175.0,2637,True,8,155097,0,618,884.8385810852051
21272,5757877,61.86969351768494,17694,2275.0,1015,True,9,178329,0,620,1024.3012156486511
33573,20285423,204.6374979019165,61875,1475.0,12300,True,10,382449,0,626,2479.5554854869843
34045,20646281,207.9961655139923,62896,1475.0,471,True,11,400366,0,627,2571.880483150482
34396,20888238,210.07443165779114,63536,2075.0,350,True,12,418694,0,629,2663.0118827819824
34909,21621837,215.1359260082245,65093,2675.0,512,True,13,450060,0,679,2835.800484895706
35065,21837243,216.6095094680786,65548,3275.0,155,True,14,460969,0,680,2894.448206424713
36928,24218371,232.80976700782776,70515,3875.0,1862,True,15,606845,0,681,3649.1950023174286
37032,24350191,233.72801423072815,70792,4625.0,103,True,16,617950,0,682,3705.42564368248
38774,27212643,252.00507998466492,76414,5225.0,1741,True,17,807040,0,697,4685.182489395142
39921,28680751,261.6071939468384,79369,5525.0,1146,True,18,941777,0,698,5358.101110458374
44270,34995173,303.3368980884552,92217,4925.0,4348,True,19,1330195,0,700,7310.814718008041
44921,36829344,314.6428744792938,95689,3875.0,650,True,20,1399504,0,703,7714.408328533173
45697,38760109,326.58528757095337,99344,5075.0,775,True,21,1513040,0,704,8328.168463945389
45713,38802888,326.8275682926178,99423,5875.0,15,True,22,1515538,0,706,8340.920748710632
45736,38864015,327.2019579410553,99538,6675.0,22,True,23,1519601,0,707,8362.443802595139
45757,38921428,327.59044456481934,99657,7875.0,20,True,24,1523799,0,708,8384.843158245087
45793,39007866,328.1860496997833,99841,9075.0,35,True,25,1531294,0,710,8424.230591058731
45795,39018172,328.2561218738556,99863,10275.0,1,False,26,1531858,0,711,8427.216295480728
45839,39138485,329.09054732322693,100122,11475.0,43,True,27,1543092,0,714,8485.685849905014
45873,39221497,329.70788764953613,100301,12075.0,33,True,28,1551905,0,715,8532.39805674553
45967,39482992,332.44756531715393,100873,12375.0,93,True,29,1577148,0,730,8665.153264760971
45978,39520735,332.76142048835754,100957,13575.0,10,False,30,1580281,0,749,8681.859347105026
46034,39685152,334.13751125335693,101319,15375.0,55,True,31,1598549,0,770,8775.191992282867
46034,39687541,334.14902091026306,101323,17175.0,55,True,32,1598788,0,781,8776.406127691269
46034,39688144,334.1519136428833,101324,17175.0,55,True,33,1598806,0,791,8776.515768527985
46034,39688749,334.1548149585724,101325,17175.0,55,True,34,1598824,0,800,8776.633820772171
46034,39689348,334.1576678752899,101326,17175.0,55,True,35,1598832,0,816,8776.69763636589
46034,39689937,334.1609539985657,101327,17175.0,55,True,36,1598861,0,818,8776.929182767868
46034,39690537,334.16640973091125,101328,17175.0,55,True,37,1598881,0,829,8777.065521240234
46034,39691121,334.1694722175598,101329,17175.0,55,True,38,1598899,0,842,8777.167554140091
46034,39692603,334.1782784461975,101332,31575.0,55,True,39,1599004,0,849,8777.767245292664
46034,39693176,334.1812312602997,101333,31575.0,55,True,40,1599024,0,853,8777.879736185074
