cycle_times,total_bitmap_size,total_execution_time,execution_entry_count,total_score,no_new_coverage_cycle_times,exploration_mode,last_fuzz_finds_count,last_fuzz_crash_count,last_fuzz_timeout_count,bitmap_size,program_run_time
0,255,0.0010890960693359375,1,0,0,True,1,0,0,255,0
1,394,0.002699136734008789,2,0,1,True,2,0,0,290,0.009433507919311523
1,528,0.003923654556274414,3,0,1,True,3,0,0,293,0.015786409378051758
1,935,0.008452177047729492,6,0,1,True,4,0,0,294,0.03818035125732422
1,1069,0.010098457336425781,7,0,1,True,5,0,0,301,0.044096946716308594
1,1484,0.01456451416015625,10,0,1,True,6,0,0,304,0.06406307220458984
1,1623,0.016001224517822266,11,0,1,True,7,0,0,305,0.0700840950012207
1,2571,0.02540445327758789,18,0,1,True,8,0,0,308,0.11276960372924805
2,4331,0.04384803771972656,30,1250.0,0,True,9,0,0,319,0.20953798294067383
2,5004,0.04991769790649414,34,1250.0,0,True,10,0,0,337,0.23708581924438477
3,8512,0.08082795143127441,57,1850.0,0,True,11,2,0,338,0.399014949798584
3,9725,0.09196615219116211,65,1850.0,0,True,12,3,0,344,0.4552147388458252
3,12328,0.1180868148803711,84,2050.0,0,True,13,3,0,345,0.5800168514251709
4,16512,0.15749526023864746,114,2100.0,0,True,14,4,0,351,0.7640948295593262
5,21776,0.20361995697021484,149,2150.0,0,True,15,4,0,352,0.9912488460540771
6,27048,0.25208568572998047,185,2450.0,0,True,16,4,0,353,1.2185261249542236
6,29213,0.2703583240509033,199,2550.0,0,True,17,4,0,354,1.3029966354370117
6,31534,0.2890331745147705,214,2950.0,0,True,18,4,0,357,1.3921427726745605
7,36888,0.3324401378631592,251,3375.0,0,True,19,4,0,358,1.628554344177246
8,47827,0.4259212017059326,328,3275.0,0,True,20,4,0,361,2.112154006958008
8,50574,0.4478428363800049,346,3675.0,0,True,21,4,0,367,2.2304253578186035
9,59756,0.521723747253418,406,4425.0,0,True,22,4,0,369,2.613309860229492
9,60447,0.5272033214569092,411,4425.0,0,True,23,4,0,370,2.6481971740722656
10,66857,0.5807366371154785,456,5125.0,0,True,24,6,0,371,2.9143378734588623
10,75509,0.6542589664459229,518,5125.0,0,True,25,9,0,374,3.2870426177978516
10,78319,0.6752915382385254,536,4625.0,0,True,26,9,0,376,3.388211727142334
11,86198,0.7393519878387451,589,5025.0,0,True,27,9,0,377,3.717390537261963
13,110296,0.9409503936767578,749,5025.0,1,True,28,13,0,378,4.717591762542725
14,122011,1.0328648090362549,826,5375.0,0,True,29,14,0,407,5.219735383987427
14,130670,1.1079940795898438,885,5937.5,0,True,30,14,0,412,5.608079195022583
14,130812,1.1093249320983887,886,5937.5,0,True,31,14,0,416,5.614645004272461
14,131096,1.112119436264038,888,5937.5,0,True,32,14,0,417,5.627589702606201
14,132090,1.1212000846862793,895,5937.5,0,True,33,14,0,418,5.6693902015686035
14,132657,1.1257522106170654,899,5937.5,0,True,34,14,0,419,5.695138454437256
14,132941,1.1278936862945557,901,5937.5,0,True,35,14,0,420,5.706647157669067
14,133367,1.1315357685089111,904,5937.5,0,True,36,14,0,421,5.723837614059448
14,134471,1.1412925720214844,912,5937.5,0,True,37,14,0,422,5.770511627197266
14,135155,1.1476547718048096,917,5937.5,0,True,38,14,0,423,5.804699420928955
14,135710,1.1520719528198242,921,5937.5,0,True,39,14,0,425,5.827036142349243
14,136978,1.1629090309143066,930,5937.5,0,True,40,14,0,426,5.8853113651275635
14,143422,1.2200021743774414,976,5937.5,0,True,41,15,0,427,6.158381223678589
14,144132,1.2261028289794922,981,5937.5,0,True,42,15,0,428,6.1911537647247314
14,145383,1.2371554374694824,990,5937.5,0,True,43,15,0,429,6.24593186378479
14,150870,1.285585641860962,1029,5937.5,0,True,44,17,0,430,6.493476867675781
15,186270,1.5925960540771484,1279,23337.5,0,True,45,21,0,431,8.07013463973999
15,190997,1.6329154968261719,1313,17037.5,0,True,46,22,0,432,8.282987833023071
15,199086,1.7117838859558105,1371,14637.5,0,True,47,25,0,433,8.651591539382935
16,208137,1.795619249343872,1435,11937.5,0,True,48,28,0,435,9.052149534225464
16,216225,1.8661792278289795,1491,11837.5,0,True,49,28,0,456,9.4031503200531
17,259254,2.2638418674468994,1785,12137.5,0,True,50,32,0,459,11.332317113876343
18,270799,2.379361867904663,1865,12175.0,0,True,51,32,0,460,11.882913589477539
20,331039,2.969144582748413,2280,13375.0,1,True,52,42,0,461,14.572059631347656
20,343840,3.0894968509674072,2368,13375.0,1,True,53,42,0,462,15.159559965133667
21,368353,3.3203043937683105,2536,14175.0,0,True,54,43,0,463,16.221802711486816
22,394640,3.555736780166626,2717,14025.0,0,True,55,48,0,464,17.37660837173462
22,412480,3.713930130004883,2842,14225.0,0,True,56,51,0,465,18.14086675643921
24,473029,4.23631477355957,3255,13725.0,1,True,57,55,0,466,20.72702145576477
26,534935,4.780379295349121,3683,14725.0,1,True,58,68,0,467,23.41197371482849
31,691034,6.108987808227539,4748,15175.0,4,False,59,90,0,468,30.010247468948364
31,712494,6.291419506072998,4896,15625.0,4,False,60,92,0,469,30.952378749847412
31,716640,6.328307390213013,4926,16825.0,4,False,61,92,0,470,31.133389472961426
35,874015,7.737501621246338,6010,18425.0,3,False,62,112,0,471,38.08324980735779
35,877911,7.769561290740967,6037,15575.0,3,False,63,113,0,473,38.2512092590332
36,912771,8.072149515151978,6278,16775.0,0,False,64,119,0,479,39.75367879867554
36,935290,8.264622449874878,6432,17975.0,0,False,65,121,0,486,40.6895592212677
38,1013857,8.920624017715454,6977,18275.0,1,False,66,135,0,488,44.04823684692383
40,1081040,9.4769287109375,7430,17725.0,1,False,67,141,0,493,46.88913536071777
40,1081316,9.479408740997314,7432,17725.0,1,False,68,141,0,498,46.90193057060242
40,1081603,9.482576370239258,7434,17725.0,1,False,69,141,0,503,46.914856910705566
40,1083448,9.49978232383728,7447,17725.0,1,False,70,142,0,510,46.992485761642456
40,1087570,9.542104005813599,7476,17725.0,1,False,71,145,0,518,47.18143439292908
40,1088573,9.550653457641602,7483,17725.0,1,False,72,145,0,519,47.221293926239014
40,1096424,9.62131929397583,7538,24825.0,1,False,73,147,0,520,47.57811093330383
40,1096863,9.624477863311768,7541,24825.0,1,False,74,149,0,526,47.597368001937866
40,1102684,9.673359870910645,7582,27625.0,1,False,75,151,0,527,47.82882332801819
40,1109868,9.734943628311157,7633,28825.0,1,False,76,155,0,528,48.12644648551941
40,1132291,9.94376516342163,7788,30425.0,1,False,77,168,0,529,49.127140045166016
41,1188064,10.477948427200317,8180,31225.0,0,False,78,188,0,530,51.60696816444397
41,1209174,10.684785842895508,8327,28225.0,0,False,79,203,0,531,52.56444239616394
43,1289025,11.477097988128662,8885,27125.0,1,False,80,222,0,532,56.283331632614136
44,1364578,12.330998659133911,9408,22925.0,0,False,81,242,0,533,60.29164695739746
45,1422257,12.878101348876953,9812,23125.0,0,False,82,265,0,537,62.84573841094971
46,1459247,13.210639476776123,10066,24275.0,0,False,83,286,0,538,64.46847748756409
49,1629129,14.745849132537842,11247,25475.0,2,False,84,364,0,540,71.9119176864624
51,1721651,15.638025760650635,11891,23975.0,1,False,85,394,0,542,76.16468286514282
51,1729207,15.710767984390259,11944,25175.0,1,False,86,397,0,545,76.5301513671875
55,1964477,17.90722632408142,13574,27575.0,3,False,87,451,0,546,87.21141743659973
60,2259504,20.763229370117188,15607,25775.0,4,False,88,519,0,547,100.82296299934387
61,2348185,21.574742555618286,16227,25275.0,0,False,89,546,0,550,104.73341822624207
