cycle_times,total_bitmap_size,total_execution_time,execution_entry_count,total_score,no_new_coverage_cycle_times,exploration_mode,last_fuzz_finds_count,last_fuzz_crash_count,last_fuzz_timeout_count,bitmap_size,program_run_time
0,836,0.02489304542541504,3,0,0,True,6,0,0,322,0
68,1155,0.02778792381286621,4,375.0,68,True,7,541,0,395,1.9335517883300781
74,1453,0.03023982048034668,5,950.0,5,False,8,682,0,421,2.5564441680908203
561,10610,0.11185097694396973,36,1100.0,486,True,9,6582,0,425,23.621274709701538
1668,28277,0.2515389919281006,93,825.0,1106,True,10,22441,0,426,85.40800166130066
2025,35830,0.3132789134979248,118,925.0,356,True,11,29380,0,427,112.74983143806458
2153,41014,0.3588566780090332,135,1025.0,127,True,12,33029,0,447,128.29209637641907
2187,41998,0.36571788787841797,138,1425.0,33,True,13,34130,0,449,133.2992811203003
2242,46256,0.3968393802642822,151,1925.0,54,True,14,37524,0,450,151.98972010612488
2263,47245,0.4040193557739258,154,2725.0,20,True,15,39158,0,451,159.65761709213257
2350,51983,0.43990278244018555,168,3525.0,86,True,16,47035,0,452,199.54320001602173
2380,53301,0.4497096538543701,172,3725.0,29,True,17,49983,0,453,213.87764024734497
2399,55612,0.46761250495910645,179,4525.0,18,True,18,52020,0,454,222.9658579826355
2431,58604,0.48914623260498047,188,5325.0,31,True,19,55810,0,456,242.18464851379395
2740,89815,0.7215440273284912,281,5525.0,308,True,20,82795,0,457,389.4485125541687
7306,456810,3.4512197971343994,1407,3025.0,4565,True,21,309761,0,458,1363.8742413520813
11674,844373,6.297050952911377,2578,2800.0,4367,True,22,527462,0,461,2362.5840373039246
19441,1491342,11.118591070175171,4566,2900.0,7766,True,23,930550,0,462,4072.2769033908844
23056,1778193,13.25700569152832,5441,3000.0,3614,True,24,1136563,0,463,4966.951621055603
23999,1872534,13.95795750617981,5729,3100.0,942,True,25,1196675,0,464,5217.799569606781
28320,2212578,16.509031534194946,6766,3500.0,4320,True,26,1466929,0,465,6360.734375953674
45439,3710858,27.712581157684326,11315,3300.0,17118,True,27,2504814,0,487,10876.947725057602
46654,3822107,28.537013053894043,11650,3400.0,1214,True,28,2590337,0,488,11246.909763336182
51225,4260238,31.7536141872406,12972,3700.0,4570,True,29,2920918,0,489,12659.123513936996
59618,5055259,37.65151882171631,15378,3800.0,8392,True,30,3509711,0,494,15178.083973884583
61864,5268756,39.263686656951904,16026,3675.0,2245,True,31,3682911,0,501,15919.793485403061
63943,5490616,40.91017508506775,16694,4075.0,2078,True,32,3862061,0,502,16688.68591284752
64495,5553826,41.355990171432495,16880,4475.0,551,True,33,3914363,0,504,16910.443699359894
66024,5729027,42.619797706604004,17401,4875.0,1528,True,34,4061104,0,505,17536.476747751236
66702,5809101,43.194775104522705,17637,4975.0,677,True,35,4132073,0,506,17841.50564813614
75999,6863230,50.770140171051025,20739,5375.0,9296,True,36,4994161,0,507,21492.58486557007
81824,7533714,55.64080476760864,22740,4275.0,5824,True,37,5518008,0,508,23701.28631711006
85442,7977129,58.85133194923401,24058,4675.0,3617,True,38,5846865,0,509,25119.257482290268
93200,8937502,65.72242331504822,26910,5175.0,7757,True,39,6689286,0,510,28690.165737867355
98191,9582245,70.16874599456787,28799,5075.0,4990,True,40,7291007,0,511,31330.39609837532
104236,10314673,75.31371712684631,30992,4875.0,6044,True,41,7898968,0,512,33789.463904857635
110246,11204504,81.59862947463989,33640,5675.0,6009,True,42,8647835,0,513,37469.040138959885
115000,11880542,86.28966188430786,35611,5525.0,4753,True,43,9286231,0,514,40320.41858410835
197296,22496197,158.68591856956482,66821,5925.0,82295,True,44,17683680,0,516,74551.957706213
238022,28025582,196.42227172851562,83188,5400.0,40725,True,44,21931562,0,516,91617.14543771744
