cycle_times,total_bitmap_size,total_execution_time,execution_entry_count,total_score,no_new_coverage_cycle_times,exploration_mode,last_fuzz_finds_count,last_fuzz_crash_count,last_fuzz_timeout_count,bitmap_size,program_run_time
0,91972,0.7852683067321777,449,0,0,True,1331,0,0,3659,0
1,92512,0.7883446216583252,451,0,1,True,1332,744,0,3661,12.752048969268799
1,92847,0.7929930686950684,454,0,1,True,1333,1190,0,3662,17.54137134552002
1,93063,0.7949080467224121,455,0,1,True,1334,1247,0,3664,17.75564956665039
2,94233,0.8053967952728271,461,78931.25,0,True,1335,2583,0,3667,31.702593088150024
2,95042,0.8103141784667969,464,79081.25,0,True,1336,3058,0,3668,37.20541024208069
2,95477,0.811908483505249,465,79181.25,0,True,1337,3229,0,3670,46.592302083969116
3,95922,0.8152940273284912,467,79481.25,0,True,1338,3961,0,3671,56.15939688682556
3,96048,0.8169553279876709,468,79581.25,0,True,1339,4513,0,3678,64.36726951599121
3,96609,0.821967363357544,471,79581.25,0,True,1340,4993,0,3681,79.05349159240723
3,96877,0.8253481388092041,473,79706.25,0,True,1341,5395,0,3682,91.55694770812988
4,97134,0.8270606994628906,474,79806.25,0,True,1342,5788,0,3690,93.6978805065155
5,98674,0.8468024730682373,485,79906.25,0,True,1343,7951,0,3691,118.41113185882568
5,98949,0.85150146484375,488,80006.25,0,True,1344,8725,0,3695,128.83675503730774
6,99737,0.8600728511810303,493,80081.25,0,True,1345,10240,0,3696,149.14206862449646
7,101211,0.8728561401367188,500,81031.25,0,True,1346,12240,0,3697,178.0856420993805
8,102315,0.8832972049713135,506,81081.25,0,True,1347,14074,0,3700,203.1042037010193
8,102585,0.8864870071411133,508,81456.25,0,True,1348,14332,0,3701,206.91152715682983
8,102993,0.8900167942047119,510,81568.75,0,True,1349,14698,0,3702,212.6534833908081
9,104090,0.9019665718078613,517,81468.75,0,True,1350,16447,0,3713,227.6134557723999
10,104527,0.9069955348968506,520,81918.75,0,True,1351,17172,0,3714,233.7957625389099
10,105075,0.9118523597717285,523,81868.75,0,True,1352,17415,0,3715,236.26111555099487
10,105147,0.9135839939117432,524,82243.75,0,True,1353,17632,0,3716,245.16248297691345
11,106653,0.9510667324066162,535,82243.75,0,True,1354,20564,0,3718,285.88472056388855
13,108139,0.9596188068389893,540,82543.75,1,True,1355,23004,0,4242,317.7203018665314
13,108677,0.9646415710449219,543,83418.75,1,True,1356,24219,0,4246,338.13072299957275
14,108911,0.9665539264678955,544,82918.75,0,True,1357,24484,0,4264,339.5458333492279
