cycle_times,total_bitmap_size,total_execution_time,execution_entry_count,total_score,no_new_coverage_cycle_times,exploration_mode,last_fuzz_finds_count,last_fuzz_crash_count,last_fuzz_timeout_count,bitmap_size,program_run_time
0,130856,2.0386743545532227,1174,0,0,True,1417,0,0,763,0
1,131851,2.0587005615234375,1182,0,1,True,1418,1532,0,764,5.6433446407318115
6,137026,2.1429226398468018,1237,130087.5,4,True,1419,12811,0,766,56.035195112228394
7,138958,2.17008638381958,1255,130787.5,0,True,1420,15139,0,767,65.45714378356934
7,139339,2.1746082305908203,1258,130887.5,0,True,1421,16901,0,790,71.99580121040344
11,144456,2.2508981227874756,1307,131037.5,3,True,1422,25250,0,810,106.97413945198059
12,145327,2.2638232707977295,1315,131662.5,0,True,1423,27385,0,811,117.79696273803711
12,146039,2.273242712020874,1321,131662.5,0,True,1424,28607,0,812,121.10716700553894
13,146607,2.2812271118164062,1326,131812.5,0,True,1425,29888,0,814,126.71430659294128
21,160266,2.5118260383605957,1450,132162.5,7,True,1426,51041,0,822,230.06702136993408
23,162699,2.547032594680786,1472,132387.5,1,True,1427,55079,0,823,244.51261854171753
25,165995,2.5941977500915527,1503,132587.5,1,True,1428,61112,0,824,263.41305112838745
25,166346,2.5971786975860596,1505,132812.5,1,True,1429,61372,0,825,264.688019990921
29,171442,2.6817431449890137,1558,133562.5,3,True,1430,72152,0,831,304.6253938674927
30,173083,2.7057945728302,1574,133062.5,0,False,1431,74611,0,842,316.21224331855774
35,181795,2.8330745697021484,1651,134212.5,4,False,1432,87619,0,849,378.3576407432556
36,182250,2.8405327796936035,1655,133612.5,0,False,1433,89083,0,850,386.3594620227814
36,182831,2.8499393463134766,1660,134212.5,0,False,1434,89581,0,855,389.48662996292114
39,186045,2.9138333797454834,1694,135012.5,2,False,1435,96496,0,857,432.22305822372437
42,190175,2.9826278686523438,1732,134312.5,2,False,1436,103045,0,860,464.6983697414398
46,197669,3.1049644947052,1804,134462.5,3,False,1437,115476,0,863,533.4615609645844
51,204679,3.2221052646636963,1875,134812.5,4,False,1438,127885,0,865,586.5235533714294
62,217929,3.4468371868133545,2014,136062.5,10,False,1439,156712,0,868,716.6028957366943
63,219452,3.470053195953369,2027,138212.5,0,False,1440,158352,0,869,729.2251822948456
179,363510,6.302561044692993,3716,139012.5,115,True,1441,475451,0,1004,2091.8045275211334
180,364373,6.315854787826538,3723,142887.5,0,False,1442,477322,0,1006,2100.4172756671906
181,365064,6.325126886367798,3729,143687.5,0,False,1443,478833,0,1009,2104.8698976039886
181,365700,6.334060907363892,3735,144487.5,0,False,1444,479730,0,1025,2108.911944627762
181,366477,6.343807220458984,3741,145262.5,0,False,1445,481703,0,1027,2116.619841337204
182,367282,6.355542421340942,3749,146062.5,0,False,1446,483337,0,1028,2122.9053065776825
182,367587,6.3584065437316895,3751,146862.5,0,False,1447,483395,0,1034,2123.031127691269
183,369068,6.384650945663452,3768,147662.5,0,False,1448,486532,0,1035,2136.629178762436
183,370014,6.397188663482666,3776,148462.5,0,False,1449,487433,0,1036,2141.3385801315308
185,372408,6.43302845954895,3800,149262.5,1,False,1450,491032,0,1037,2152.961782693863
185,373463,6.44675612449646,3809,149862.5,1,False,1451,492142,0,1075,2156.1630551815033
186,376386,6.487251281738281,3835,150262.5,0,False,1452,496690,0,1076,2174.9044156074524
187,377752,6.507235765457153,3848,149562.5,0,False,1453,498403,0,1078,2180.101550102234
187,378751,6.519947052001953,3856,149162.5,0,False,1454,498633,0,1079,2181.2711601257324
190,382580,6.58653998374939,3900,149362.5,2,False,1455,508735,0,1087,2216.584414243698
191,383473,6.599871873855591,3909,149262.5,0,False,1456,510253,0,1093,2221.3851866722107
191,383692,6.601269960403442,3910,149762.5,0,False,1457,510606,0,1109,2222.2625114917755
191,384469,6.610301733016968,3916,150162.5,0,False,1458,512529,0,1113,2229.6895875930786
191,384917,6.615943670272827,3920,149762.5,0,False,1459,512729,0,1114,2230.2883911132812
192,385222,6.618769407272339,3922,150362.5,0,False,1460,512887,0,1121,2230.7918417453766
192,386557,6.635756015777588,3933,150962.5,0,False,1461,515832,0,1122,2243.001986026764
193,388563,6.666607618331909,3954,151162.5,0,False,1462,518790,0,1123,2253.71741938591
193,388869,6.669495582580566,3956,151537.5,0,False,1463,518866,0,1125,2253.921642065048
197,394392,6.760479688644409,4014,152337.5,3,False,1464,529493,0,1128,2297.4941906929016
197,394950,6.76904559135437,4019,150537.5,3,False,1465,531540,0,1129,2304.634838581085
199,397322,6.81196403503418,4045,150737.5,1,False,1466,535980,0,1130,2318.616997241974
199,398102,6.8224029541015625,4052,150937.5,1,False,1467,537051,0,1134,2322.756466150284
199,398320,6.823908090591431,4053,150937.5,1,False,1468,537239,0,1135,2323.2072966098785
200,399595,6.843021631240845,4065,151737.5,0,False,1469,540778,0,1139,2335.830620765686
